iter	Passed	Remaining
206	215660	305258
207	216736	304264
208	217735	303163
209	218709	302027
210	219706	300924
211	220705	299825
212	221685	298703
213	222666	297581
214	223673	296496
215	224795	295564
216	225790	294463
217	226774	293351
218	227782	292269
219	228766	291157
220	229733	290025
221	230841	289071
222	231921	288081
223	232949	287027
224	233944	285931
225	234982	284890
226	236023	283852
227	237012	282751
228	238028	281684
229	239117	280703
230	240116	279616
231	241224	278655
232	242245	277594
233	243271	276539
234	244288	275474
235	245315	274420
236	246327	273350
237	247315	272255
238	248319	271177
239	249408	270192
240	250410	269113
241	251403	268024
242	252393	266934
243	253376	265837
244	254348	264730
245	255348	263652
246	256522	262754
247	257501	261655
248	258496	260573
249	259477	259477
250	260492	258416
251	261472	257322
252	262510	256284
253	263585	255283
254	264498	254125
255	265551	253103
256	266515	251996
257	267513	250923
258	268532	249869
259	269516	248784
260	270459	247662
261	271395	246534
262	272339	245416
263	273338	244348
264	274278	243228
265	275223	242114
266	276156	240990
267	277306	240056
268	278251	238944
269	279291	237915
270	280267	236830
271	281214	235723
272	282133	234594
273	283082	233491
274	284045	232400
275	285140	231418
276	286112	230336
277	287078	229249
278	288049	228168
279	288989	227062
280	289917	225949
281	290888	224871
282	292000	223901
283	292925	222788
284	293852	221678
285	294930	220682
286	296009	219686
287	296964	218598
288	297915	217509
289	298858	216414
290	299794	215316
291	300760	214240
292	301745	213178
293	302686	212086
294	303648	211009
295	304668	209974
296	305651	208913
297	306633	207852
298	307614	206790
299	308574	205716
300	309536	204643
301	310500	203573
302	311484	202516
303	312450	201448
304	313417	200381
305	314382	199314
306	315394	198277
307	316498	197297
308	317453	196225
309	318414	195157
310	319357	194078
311	320298	193000
312	321240	191923
313	322194	190854
314	323139	189780
315	324100	188716
316	325254	187765
317	326568	186904
318	327874	186035
319	328923	185019
320	330021	184030
321	330994	182971
322	332248	182067
323	333510	181166
324	334648	180195
325	335854	179259
326	337135	178362
327	338477	177494
328	339589	176503
329	340603	175462
330	341556	174389
331	342531	173329
332	343490	172260
333	344460	171199
334	345478	170160
335	346416	169084
336	347428	168044
337	348437	167002
338	349399	165938
339	350402	164895
340	351487	163889
341	352464	162834
342	353737	161915
343	355062	161016
344	356067	159972
345	357061	158923
346	358022	157860
347	359132	156862
348	360200	155845
349	361382	154878
350	362582	153916
351	363667	152905
352	364822	151923
353	365844	150884
354	366866	149846
355	367879	148805
356	368938	147781
357	370191	146835
358	371179	145783
359	372166	144731
360	373161	143682
361	374168	142639
362	375271	141631
363	376285	140590
364	377248	139530
365	378223	138475
366	379240	137435
367	380190	136372
368	381174	135321
369	382285	134316
370	383249	133259
371	384333	132243
372	385334	131199
373	386307	130146
374	387275	129091
375	388279	128049
376	389404	127047
377	390423	126009
378	391365	124947
379	392513	123951
380	393485	122899
381	394471	121852
382	395527	120826
383	396500	119776
384	397475	118726
385	398586	117717
386	399592	116676
387	400565	115627
388	401628	114603
389	402602	113554
390	403584	112508
391	404737	111509
392	405732	110466
393	406762	109433
394	407743	108387
395	408692	107333
396	409696	106294
397	410795	105279
398	411774	104233
399	412807	103201
400	413803	102160
401	414761	101110
402	415906	100106
403	416935	99073
404	417912	98028
405	418900	96986
406	419880	95943
407	420959	94922
408	421919	93874
409	422909	92833
410	423870	91787
411	424853	90745
412	426100	89759
413	427065	88714
414	428034	87669
415	428261	86475
416	429216	85431
417	430270	84407
418	431363	83390
419	432603	82400
420	433689	81381
421	434664	80340
422	435881	79344
423	436870	78307
424	437840	77265
425	439225	76297
426	440974	75389
427	442168	74383
428	443358	73376
429	444322	72331
430	445289	71287
431	446220	70238
432	447194	69196
433	448148	68151
434	449085	67104
435	450090	66068
436	451051	65025
437	452023	63985
438	452964	62940
439	453912	61897
440	454856	60853
441	455929	59827
442	457021	58804
443	458042	57771
444	459043	56735
445	460007	55696
446	461112	54673
447	462121	53639
448	463135	52605
449	464138	51570
450	465190	50541
451	466195	49507
452	467218	48475
453	468209	47439
454	469170	46401
455	470151	45365
456	471134	44329
457	472185	43300
458	473182	42266
459	474137	41229
460	475109	40193
461	476105	39160
462	477102	38127
463	478137	37096
464	479219	36070
465	480203	35036
466	481261	34007
467	482204	32971
468	483171	31936
469	484139	30902
470	485138	29870
471	486161	28840
472	487141	27807
473	488095	26773
474	489068	25740
475	490035	24707
476	490991	23674
477	491962	22642
478	492910	21609
479	493864	20577
480	494797	19545
481	495937	18520
482	496866	17488
483	497784	16455
484	498718	15424
485	499694	14394
486	500673	13364
487	501655	12335
488	502748	11309
489	503727	10280
490	504770	9252
491	505763	8223
492	506754	7195
493	507725	6166
494	508686	5138
495	509649	4110
496	510622	3082
497	511605	2054
498	512548	1027
499	512780	0
