iter	Logloss
0	0.6276985463
50	0.00892983782
100	0.002649198399
150	0.001774690544
200	0.001482501748
250	0.001311939477
300	0.001157753779
350	0.001030878902
400	0.0009146173351
450	0.0008096428915
499	0.0007212309175
